"fecha","tmax","tmin"
"2018-07-01","32,9","18,9"
"2018-07-02","33,1","19,0"
"2018-07-03","34,1","21,3"
"2018-07-04","36,3","20,9"
"2018-07-05","29,3","19,2"
"2018-07-06","31,7","18,2"
"2018-07-07","33,4","19,9"
"2018-07-08","34,1","20,3"
"2018-07-09","33,7","19,0"
"2018-07-10","33,1","21,1"
"2018-07-11","32,9","19,9"
"2018-07-12","31,9","19,5"
"2018-07-13","33,2","20,1"
"2018-07-14","35,0","20,9"
"2018-07-15","36,7","20,8"
"2018-07-16","29,4","20,6"
"2018-07-17","33,3","17,8"
"2018-07-18","36,0","20,7"
"2018-07-19","35,5","18,1"
"2018-07-20","31,8","19,0"
"2018-07-21","27,8","17,7"
"2018-07-22","30,8","19,1"
"2018-07-23","34,8","19,5"
"2018-07-24","37,1","22,0"
"2018-07-25","35,4","21,6"
"2018-07-26","37,6","21,8"
"2018-07-27","36,5","22,1"
"2018-07-28","34,0","22,4"
"2018-07-29","36,7","20,4"
"2018-07-30","36,6","22,0"
"2018-07-31","36,5","23,7"